ps -aux >> 03.report.process.shell.txt

USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.1  0.1 190808  9288 ?        Ss   08:37   0:09 /sbin/init splash
root         2  0.0  0.0      0     0 ?        S    08:37   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        I<   08:37   0:00 [rcu_gp]
root         4  0.0  0.0      0     0 ?        I<   08:37   0:00 [rcu_par_gp]
root         6  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/0:0H-kblockd]
root         8  0.0  0.0      0     0 ?        I<   08:37   0:00 [mm_percpu_wq]
root         9  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/0]
root        10  0.0  0.0      0     0 ?        I    08:37   0:03 [rcu_sched]
root        11  0.0  0.0      0     0 ?        I    08:37   0:00 [rcu_bh]
root        12  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/0]
root        13  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/0]
root        14  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/0]
root        15  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/1]
root        16  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/1]
root        17  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/1]
root        18  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/1]
root        20  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/1:0H-kblockd]
root        21  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/2]
root        22  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/2]
root        23  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/2]
root        24  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/2]
root        26  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/2:0H-kblockd]
root        27  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/3]
root        28  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/3]
root        29  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/3]
root        30  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/3]
root        31  0.0  0.0      0     0 ?        I    08:37   0:00 [kworker/3:0-mm_percpu_wq]
root        32  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/3:0H-kblockd]
root        33  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/4]
root        34  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/4]
root        35  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/4]
root        36  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/4]
root        37  0.0  0.0      0     0 ?        I    08:37   0:00 [kworker/4:0-mm_percpu_wq]
root        38  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/4:0H-kblockd]
root        39  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/5]
root        40  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/5]
root        41  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/5]
root        42  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/5]
root        43  0.0  0.0      0     0 ?        I    08:37   0:00 [kworker/5:0-events]
root        44  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/5:0H-kblockd]
root        45  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/6]
root        46  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/6]
root        47  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/6]
root        48  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/6]
root        50  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/6:0H-kblockd]
root        51  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/7]
root        52  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/7]
root        53  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/7]
root        54  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/7]
root        55  0.0  0.0      0     0 ?        I    08:37   0:01 [kworker/7:0-events]
root        56  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/7:0H-kblockd]
root        57  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/8]
root        58  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/8]
root        59  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/8]
root        60  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/8]
root        62  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/8:0H-kblockd]
root        63  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/9]
root        64  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/9]
root        65  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/9]
root        66  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/9]
root        67  0.0  0.0      0     0 ?        I    08:37   0:00 [kworker/9:0-mm_percpu_wq]
root        68  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/9:0H-kblockd]
root        69  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/10]
root        70  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/10]
root        71  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/10]
root        72  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/10]
root        74  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/10:0H-kblockd]
root        75  0.0  0.0      0     0 ?        S    08:37   0:00 [cpuhp/11]
root        76  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdog/11]
root        77  0.0  0.0      0     0 ?        S    08:37   0:00 [migration/11]
root        78  0.0  0.0      0     0 ?        S    08:37   0:00 [ksoftirqd/11]
root        80  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/11:0H-kblockd]
root        81  0.0  0.0      0     0 ?        S    08:37   0:00 [kdevtmpfs]
root        82  0.0  0.0      0     0 ?        I<   08:37   0:00 [netns]
root        83  0.0  0.0      0     0 ?        S    08:37   0:00 [rcu_tasks_kthre]
root        84  0.0  0.0      0     0 ?        S    08:37   0:00 [kauditd]
root        88  0.0  0.0      0     0 ?        S    08:37   0:00 [khungtaskd]
root        89  0.0  0.0      0     0 ?        S    08:37   0:00 [oom_reaper]
root        90  0.0  0.0      0     0 ?        I<   08:37   0:00 [writeback]
root        91  0.0  0.0      0     0 ?        S    08:37   0:00 [kcompactd0]
root        92  0.0  0.0      0     0 ?        SN   08:37   0:00 [ksmd]
root        93  0.0  0.0      0     0 ?        SN   08:37   0:00 [khugepaged]
root        94  0.0  0.0      0     0 ?        I<   08:37   0:00 [crypto]
root        95  0.0  0.0      0     0 ?        I<   08:37   0:00 [kintegrityd]
root        96  0.0  0.0      0     0 ?        I<   08:37   0:00 [kblockd]
root       101  0.0  0.0      0     0 ?        I<   08:37   0:00 [ata_sff]
root       102  0.0  0.0      0     0 ?        I<   08:37   0:00 [md]
root       103  0.0  0.0      0     0 ?        I<   08:37   0:00 [edac-poller]
root       104  0.0  0.0      0     0 ?        I<   08:37   0:00 [devfreq_wq]
root       105  0.0  0.0      0     0 ?        S    08:37   0:00 [watchdogd]
root       110  0.0  0.0      0     0 ?        I    08:37   0:00 [kworker/8:1-mm_percpu_wq]
root       114  0.0  0.0      0     0 ?        S    08:37   0:00 [kswapd0]
root       115  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/u25:0-kcryptd]
root       116  0.0  0.0      0     0 ?        S    08:37   0:00 [ecryptfs-kthrea]
root       161  0.0  0.0      0     0 ?        I<   08:37   0:00 [kthrotld]
root       162  0.0  0.0      0     0 ?        I<   08:37   0:00 [acpi_thermal_pm]
root       166  0.0  0.0      0     0 ?        I    08:37   0:00 [kworker/6:2-mm_percpu_wq]
root       168  0.0  0.0      0     0 ?        I<   08:37   0:00 [ipv6_addrconf]
root       177  0.0  0.0      0     0 ?        I<   08:37   0:00 [kstrp]
root       194  0.0  0.0      0     0 ?        I<   08:37   0:00 [charger_manager]
root       254  0.0  0.0      0     0 ?        I<   08:37   0:00 [nvme-wq]
root       255  0.0  0.0      0     0 ?        I<   08:37   0:00 [nvme-reset-wq]
root       256  0.0  0.0      0     0 ?        I<   08:37   0:00 [nvme-delete-wq]
root       281  0.0  0.0      0     0 ?        S    08:37   0:00 [scsi_eh_0]
root       282  0.0  0.0      0     0 ?        I<   08:37   0:00 [scsi_tmf_0]
root       283  0.0  0.0      0     0 ?        S    08:37   0:00 [scsi_eh_1]
root       284  0.0  0.0      0     0 ?        I<   08:37   0:00 [scsi_tmf_1]
root       285  0.0  0.0      0     0 ?        S    08:37   0:00 [scsi_eh_2]
root       286  0.0  0.0      0     0 ?        I<   08:37   0:00 [scsi_tmf_2]
root       287  0.0  0.0      0     0 ?        S    08:37   0:00 [scsi_eh_3]
root       288  0.0  0.0      0     0 ?        I<   08:37   0:00 [scsi_tmf_3]
root       289  0.0  0.0      0     0 ?        S    08:37   0:00 [scsi_eh_4]
root       290  0.0  0.0      0     0 ?        I<   08:37   0:00 [scsi_tmf_4]
root       296  0.1  0.0      0     0 ?        S    08:37   0:09 [irq/83-SYNA2B46]
root       310  0.0  0.0      0     0 ?        S    08:37   0:01 [i915/signal:0]
root       311  0.0  0.0      0     0 ?        S    08:37   0:00 [i915/signal:1]
root       312  0.0  0.0      0     0 ?        S    08:37   0:00 [i915/signal:2]
root       313  0.0  0.0      0     0 ?        S    08:37   0:00 [i915/signal:6]
root       316  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/10:1H-kblockd]
root       317  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/1:1H-kblockd]
root       318  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/7:1H-kblockd]
root       393  0.0  0.0      0     0 ?        I<   08:37   0:00 [raid5wq]
root       457  0.0  0.0      0     0 ?        S    08:37   0:00 [jbd2/sda3-8]
root       458  0.0  0.0      0     0 ?        I<   08:37   0:00 [ext4-rsv-conver]
root       492  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/5:1H-kblockd]
root       493  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/2:1H-kblockd]
root       495  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/11:1H-kblockd]
root       496  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/8:1H-kblockd]
root       506  0.0  0.2  85688 21600 ?        S<s  08:37   0:00 /lib/systemd/systemd-journald
root       511  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/4:1H-kblockd]
root       517  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/0:1H-kblockd]
